,self_bleu,textblob_sentiment,textblob_subjectivity,empath_negative_emotion,empath_anger,empath_fear
Baseline Model,0.800575835226975,0.13025407132549985,0.4408331889199236,4.0,2.0,11.0
Dr. PsyRA,0.7073388720106935,0.15167027417027418,0.46111368789940205,4.0,2.0,9.0
